"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2894","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1116","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2497","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2210","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","8496","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1722","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","3296","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1451","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","1639","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","1017","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1024","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3384","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","3682","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1392","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2646","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2578","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","2289","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1141","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1556","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1659","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","1348","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2360","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1669","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1096","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1915","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2978","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1404","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2067","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2060","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","4361","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
