"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4315","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2689","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1234","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1806","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","3160","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1971","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3214","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1715","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","954","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1625","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","2325","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1960","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","984","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2598","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","3463","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","950","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1173","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2006","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1617","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1843","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1679","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2388","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1232","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1054","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1914","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","1136","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","2158","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","8639","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3306","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1270","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
