"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1114","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1285","Check displaying of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1509","Check displaying of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","2296","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1034","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2191","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1927","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2196","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1801","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
"","3413","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1361","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1647","Check displaying of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"","2859","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1305","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","8469","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","3656","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2506","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1783","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2442","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
"","4204","Edit course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1296","Navigation from login page to registration page","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","3379","User login with correct email and password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1170","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2216","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","1635","Check displaying of empty courses list","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1573","User login with wrong email or password","LMS system","2026-09-23","passed","2026-09-23","Authorization","Authentication","",""
"","2721","Create course","LMS system","2026-09-23","passed","2026-09-23","Courses","Courses","",""
"","1914","Check displaying of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"","1413","Check displaying of dashboard page","LMS system","2026-09-23","passed","2026-09-23","Dashboard","Dashboard","",""
"","1630","Registration with correct email, username and password","LMS system","2026-09-23","passed","2026-09-23","Registration","Authentication","",""
