"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3101","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","4711","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2683","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","8457","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1247","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","1191","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","1984","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","926","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1241","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2379","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1804","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","967","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3477","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2366","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1876","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1725","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2213","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1596","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3361","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1267","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1382","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1695","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","893","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1037","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2732","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","947","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1540","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2417","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","1533","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","1777","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
